40 ; nwavenumber
37 ; ncategories
wavenumber

  250,   333,   400,   469,   541,   581,   610,
  667,   676,   800,   870,   909,   944,  1000,
 1087,  1111,  1149,  1220,  1266,  1389,  1538,
 1613,  1667,  1818,  2000,  2222,  2667,  2948,
 3333,  3704,  4000,  4444,  5000,  6510,  9434,
14409, 18182, 29674, 33333, 57600

sulfate_30% (sulfate 30% RH)
Extinction coefficient (m^2/g)
.1627E+00,.2413E+00,.3506E+00,.7193E+00,.1691E+01,       
.3598E+01,.4930E+01,.7802E+01,.8330E+01,.8330E+01 
Single-scattering albedo 
0.00049,0.00051,0.00174,0.00204,0.09595,       
0.00237,0.01156,0.00745,0.00769,0.01635,       
0.03754,0.05717,0.07938,0.08546,0.02914,       
0.01465,0.00627,0.01419,0.04273,0.04737,       
0.04420,0.08974,0.08112,0.40727,0.58408,       
0.63321,0.62769,0.27136,0.10520,0.78453,       
0.97391,0.98555,0.98245,0.99828,0.99999,       
1.00000,1.00000,1.00000,1.00000,1.00000 
Asymmetry parameter 
0.01413,0.02055,0.03126,0.03928,0.06466,       
0.03155,0.07692,0.07171,0.07297,0.09125,       
0.10796,0.11784,0.12806,0.14688,0.07926,       
0.06526,0.08823,0.13509,0.15176,0.16899,       
0.18341,0.19915,0.20462,0.23476,0.26118,       
0.28837,0.33621,0.34487,0.35085,0.41863,       
0.44085,0.46757,0.49601,0.55381,0.61924,       
0.67105,0.69034,0.70798,0.70963,.709600 

sulfate_50% (sulfate 50% RH)
Extinction coefficient (m^2/g)
.1328E+00,.8735E-01,.7688E-01,.1183E+00,.3189E-01,       
.6053E+00,.2031E+00,.2050E+00,.1967E+00,.1085E+00,       
.7359E-01,.6117E-01,.5668E-01,.8552E-01,.8958E+00,       
.1311E+01,.5776E+00,.9952E-01,.8108E-01,.3926E+00,       
.1120E+00,.9694E-01,.1177E+00,.3857E-01,.4668E-01,       
.6622E-01,.1504E+00,.4618E+00,.7604E+00,.1398E+00,       
.1871E+00,.2777E+00,.4036E+00,.8218E+00,.1906E+01,       
.4006E+01,.5461E+01,.8571E+01,.9139E+01,.9139E+01 
Single-scattering albedo 
0.00052,0.00060,0.00177,0.00217,0.02074,       
0.00249,0.01107,0.00718,0.00733,0.01284,       
0.03000,0.04769,0.06917,0.08142,0.02731,       
0.01374,0.00599,0.01814,0.04848,0.04982,       
0.05396,0.08856,0.07300,0.41572,0.57526,       
